title,genres
Broken Blossoms or The Yellow Man and the Girl (1919),Drama|Romance
"Brother from Another Planet, The (1984)",Drama|Sci-Fi
"Brothers Solomon, The (2007)",Comedy
Buddy (2003),Comedy|Drama
Buddy Boy (1999),Drama|Thriller
Bullet Ballet (1998),Crime|Drama|Sci-Fi|Thriller
Camille (1936),Drama|Romance
Camp Rock 2: The Final Jam (2010),Comedy|Musical|Romance
Candy (1968),Comedy
Captain Horatio Hornblower R.N. (1951),Action|Adventure|Drama|War
Captive Women (1000 Years from Now) (3000 A.D.) (1952),Sci-Fi
Carne (1991),Drama|Thriller
Carry on Behind (1975),Comedy
Cat Ballou (1965),Comedy|Western
"Cat in Paris, A (Une vie de chat) (2010)",Animation|Crime|Mystery
Cattle Queen of Montana (1954),Western
Chang: A Drama of the Wilderness (1927),Adventure|Documentary
Chaos (2005),Crime|Drama|Horror
"Charge of the Light Brigade, The (1936)",Action|Adventure|Romance|War
Cheech & Chong's Next Movie (1980),Comedy
Cheri (2009),Romance
Children of the Living Dead (2001),Horror|Thriller
Chill Out! (Descongélate!) (2003),Comedy|Drama
"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The (2005)",Adventure|Children|Fantasy
Chuck & Buck (2000),Comedy|Drama
Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance
Circle of Eight (2009),Horror|Mystery
City Girl (1930),Drama|Romance
City Slickers II: The Legend of Curly's Gold (1994),Adventure|Comedy|Western
"City of Women, The (Città delle donne, La) (1980)",Comedy|Drama
Clandestine Childhood (2011),Drama
Class of Nuke 'Em High (1986),Comedy|Horror
Clear and Present Danger (1994),Action|Crime|Drama|Thriller
"Clink of Ice, The (a.k.a.: Sound of Ice Cubes, The) (Le bruit des glaçons) (2010)",Comedy|Drama
Clone (Womb) (2010),Drama|Romance|Sci-Fi
Clonehunter (2009),Sci-Fi
Close Encounters of the Third Kind (1977),Adventure|Drama|Sci-Fi
Cloverfield (2008),Action|Mystery|Sci-Fi|Thriller
"Color of Friendship, The (2000)",Comedy|Drama
Combien Tu M'aimes? (How Much Do You Love Me?) (2005),Comedy|Romance
"Come Back, Little Sheba (1952)",Drama
Come and Get It (1936),Drama
Comic Book Confidential (1988),Documentary
Command Decision (1948),Drama|War
"Commitments, The (1991)",Comedy|Drama|Musical
Confetti (2006),Comedy
"Contract, The (2006)",Crime|Drama|Thriller
Coup de grâce (Der Fangschuß) (1976),Drama|War
"Court-Martial of Billy Mitchell, The (1955)",Drama|War
Cracks (2009),Drama|Romance|Thriller
Creature with the Atom Brain (1955),Crime|Horror|Sci-Fi
Crocodile Dundee in Los Angeles (2001),Comedy|Drama
Cross My Heart (1987),Comedy|Romance
"Cry, The (Grido, Il) (1957)",Drama
"Crystal Ball, The (1943)",Comedy
Curse of the Pink Panther (1983),Comedy|Crime|Mystery
Daddy Day Care (2003),Children|Comedy
Dance of Outlaws (Häätanssi) (2012),Documentary
Dance with Me (1998),Drama|Romance
Daniel (1983),Drama
Darby O'Gill and the Little People (1959),Adventure|Children|Fantasy
Dark City (1998),Adventure|Film-Noir|Sci-Fi|Thriller
Dark Horse (2011),Drama
Dark and Stormy Night (2009),Comedy|Mystery
Date and Switch (2014),Comedy
Daughter of the Nile (Ni luo he nu er) (1987),Drama
Day Is Done (2011),Documentary
"Day the Earth Stood Still, The (2008)",Drama|Sci-Fi|Thriller|IMAX
Dead Souls (2012),Horror
Death in Brunswick (1991),Comedy
Deconstructing Harry (1997),Comedy|Drama
Defenders of Riga (2007),Action|Drama|War
Delhi-6 (2009),Comedy|Crime|Drama
"Delphine 1, Yvan 0 (1996)",Comedy
Dementia 13 (1963),Horror|Thriller
Den enskilde medborgaren (2006),Comedy
Denise Calls Up (1995),Comedy
Descent (2007),Drama|Thriller
"Desperadoes, The (1943)",Romance|Western
"Details, The (2011)",Comedy
"Devil Came on Horseback, The (2007)",Documentary
"Devil and Miss Jones, The (1941)",Comedy|Romance
"Devil's Advocate, The (1997)",Drama|Mystery|Thriller
"Devil's Own, The (1997)",Action|Drama|Thriller
"Dexter the Dragon & Bumble the Bear (a.k.a. Dragon That Wasn't (Or Was He?), The) (Als je begrijpt wat ik bedoel) (1983)",Animation|Children|Fantasy
Diary of a Wimpy Kid: Dog Days (2012),Children|Comedy
"Dictator, The (2012)",Comedy
Dirty Love (2005),Comedy|Romance
Dirty Work (1998),Comedy
Divine Madness! (1980),Comedy
"Doctor, The (1991)",Drama
"Dog, The (2013)",Documentary
"Doll Squad, The (1973)",Action|Thriller
Dolphin Tale (2011),Children|Drama
"Don Is Dead, The (1973)",Action|Crime|Drama|Thriller
Don Q Son of Zorro (1925),Adventure|Romance
Donovan's Reef (1963),Action|Comedy|Romance
Dr. Dolittle 2 (2001),Comedy
Dr. Dolittle: Tail to the Chief (2008),Children|Comedy|Fantasy
Dr. Jack (1922),Comedy
Dr. Phibes Rises Again (1972),Adventure|Comedy|Horror|Romance
Dragon Ball Z the Movie: The World's Strongest (a.k.a. Dragon Ball Z: The Strongest Guy in The World) (Doragon bôru Z: Kono yo de ichiban tsuyoi yatsu) (1990),Action|Adventure|Animation|Sci-Fi|Thriller
Dragon Ball Z: Bio-Broly (Doragon bôru Z 11: Sûpâ senshi gekiha! Katsu no wa ore da) (1994),Action|Adventure|Animation
"Dragonphoenix Chronicles: Indomitable, The (2013)",Action|Adventure|Fantasy
Dragonwyck (1946),Drama|Mystery|Thriller
Dream (Bi-mong) (2008),Drama|Fantasy|Mystery|Romance
Dream Land (2004),(no genres listed)
Dream Lover (1994),Drama|Mystery
Dream With the Fishes (1997),Drama
Dream for an Insomniac (1996),Drama|Romance
Dreamchild (1985),Drama|Fantasy|Romance
Dune (1984),Adventure|Sci-Fi
"Dungeon Masters, The (2008)",Documentary
"Dunwich Horror, The (1970)",Horror
Easy Money (1983),Comedy
Efectos secundarios (2006),Comedy
Eight Below (2006),Action|Adventure|Drama|Romance
Ella Enchanted (2004),Comedy|Fantasy|Romance
"Elusive Summer of '68, The (Varljivo leto '68) (1984)",Comedy|Drama|Romance
Emo Philips Live (1987),Comedy
"Enfer, L' (1994)",Drama
Enthusiasm (Entuziazm: Simfoniya Donbassa) (1931),Documentary
Escuela de seducción (2004),Comedy
Etoiles: Dancers of the Paris Opera Ballet (Tout Près des étoiles) (2001),Documentary|Musical
Evelyn Prentice (1934),Drama|Mystery|Romance
Everything Must Go (2010),Comedy|Drama
Evilenko (2004),Crime|Horror|Thriller
Executioners from Shaolin (1977),Action|Drama
F/X2 (a.k.a. F/X 2 - The Deadly Art of Illusion) (1991),Action|Crime|Thriller
Faces of Death 4 (1990),Documentary|Horror
False Trail (Jägarna 2) (2011),Crime|Mystery|Thriller
Familiar Ground (2011),Comedy
Fanny (2013),Drama
Far from Home (1989),Thriller
Father Hood (1993),Comedy
Fatty and Mabel Adrift (1916),Comedy
Fear Clinic (2014),Horror
Fido (2006),Comedy|Horror|Thriller
"Finger, The (Dedo, El) (2011)",Comedy
Fire Birds (1990),Action|Adventure
Fire in Castilla (Tactilvision from the Moor of the Fright) (1961),Documentary
Fire-Eater (Tulennielijä) (1998),Drama
"First Nudie Musical, The (1976)",Comedy|Musical
First a Girl (1935),Comedy|Musical
"Fists in the Pocket (Pugni in tasca, I) (1965)",Drama
Fitzwilly (1967),Comedy|Romance
Five Fingers (2006),Drama|Thriller
Fletch (1985),Comedy|Crime|Mystery
Flight of the Navigator (1986),Adventure|Children|Sci-Fi
Flightplan (2005),Action|Drama|Thriller
Flodder (1986),Comedy
Floods of Fear (1959),Action|Adventure|Crime|Thriller
Follow That Dream (1962),Comedy|Musical
Footlight Parade (1933),Comedy|Musical|Romance
For Love of Ivy (1968),Comedy|Drama|Romance
Forbidden (1932),Drama|Romance
Force of Evil (1948),Film-Noir
Forever (2006),Documentary
Forever Strong (2008),Drama
Forgiven (2007),Drama
Four Christmases (2008),Comedy
Four Men and a Prayer (1938),Adventure|Mystery
Free Enterprise (1998),Comedy|Romance|Sci-Fi
French Fried Vacation 3 (Les bronzés 3: amis pour la vie) (2006),Comedy
"French Minister, The (Quai d'Orsay) (2013)",Comedy
Friday the 13th (2009),Horror
"Frisco Kid, The (1979)",Comedy|Western
From Above (2013),Drama|Romance
Fuck (2005),Comedy|Documentary
Fullmetal Alchemist: The Sacred Star of Milos (2011),Action|Adventure|Animation
"Funny Thing Happened on the Way to the Forum, A (1966)",Comedy|Musical
"Further Gesture, A (1996)",Drama
Fury (2014),Action|Drama|War
G-Force (2009),Action|Adventure|Children|Fantasy
Gagarin: First in Space (2013),Drama|Sci-Fi
"General Died at Dawn, The (1936)",Adventure|Crime|Thriller
"Gentle Woman, A (Une femme douce) (1969)",Drama
George Carlin: It's Bad for Ya! (2008),Comedy
Gervaise (1956),Drama
Get Crazy (1983),Comedy
"Giant Spider Invasion, The (1975)",Horror|Sci-Fi
"Girl from Jones Beach, The (1949)",Comedy
"Girl in the Red Velvet Swing, The (1955)",Crime|Drama|Romance
"Girl, Positive (2007)",Drama
"Girl, The (2012)",Drama
Glory Road (2006),Drama
"Godson, The (1998)",Comedy|Crime
Godzilla vs. The Sea Monster (Gojira-Ebira-Mosura: Nankai no daiketto) (1966),Action|Adventure|Fantasy|Sci-Fi
Going Postal (2010),Comedy|Fantasy
Goliath Awaits (1981),Drama|Sci-Fi|War
Good Burger (1997),Children|Comedy
"Good Night, and Good Luck. (2005)",Crime|Drama
"Grand Maneuver, The (Les grandes manoeuvres) (1955)",Comedy|Drama|Romance
"Grandview, U.S.A. (1984)",Drama
Grave Halloween (2013),Horror
"Greatest, The (2009)",Drama|Romance
"Greystoke: The Legend of Tarzan, Lord of the Apes (1984)",Adventure|Drama|Romance
Gridlock'd (1997),Crime
Grosse Pointe Blank (1997),Comedy|Crime|Romance
Guilty Hearts (2006),Drama
Gummo (1997),Drama
Gun Fury (1953),Action|Adventure|Crime|Western
Guter Junge (2008),Drama
Halloween 4: The Return of Michael Myers (1988),Horror
Hangman's Curse (2003),Horror|Mystery|Thriller
Hangman's Knot (1952),Western
Happy (2011),Documentary|Drama
Harold and Kumar Go to White Castle (2004),Adventure|Comedy
"Haunted House, A (2013)",Comedy|Horror
"Have Rocket, Will Travel (1959)",Comedy|Sci-Fi
"Hawk Is Dying, The (2006)",Drama
HazMat (2013),Horror
He Ran All the Way (1951),Crime|Drama|Film-Noir
Heavy Weather (1995),Comedy
"Heiress, The (1949)",Drama|Romance
Hercules (2005),Action|Adventure|Fantasy
Hercules (2014),Action|Adventure
Here and Elsewhere (1976),Documentary
Hero Wanted (2008),Action|Crime|Drama|Thriller
Hey Ram (2000),Drama
Hidalgo (2004),Adventure|Drama
"Hideous Sun Demon, The (1959)",Horror|Sci-Fi
High Society (1956),Comedy|Musical|Romance
High Tension (Haute tension) (Switchblade Romance) (2003),Horror|Thriller
"Hireling, The (1973)",Drama
"Hitman, The (1991)",Action|Crime|Thriller
"Hole in the Soul, A (Rupa u dusi) (1994)",Comedy|Documentary
Hollow Point (1996),Action|Comedy|Thriller
Holokaustin värit (2010),Documentary|War
Holy Man (1998),Comedy
Home Fries (1998),Comedy|Romance
Home for Christmas (Hjem til jul) (2010),Drama
Homeboy (1988),Drama|Romance
Homework (1989),(no genres listed)
Honey (2003),Drama|Romance
"Honor Among Thieves (Adieu l'ami) (Farewell, Friend) (1968)",Action|Adventure|Crime|Drama|Mystery|Thriller
Hope Floats (1998),Comedy|Drama|Romance
Horror of Dracula (Dracula) (1958),Horror
Hostage (2005),Action|Crime|Drama|Thriller
Hotel Rwanda (2004),Drama|War
Hotel Very Welcome (2007),Comedy|Drama
House of Wax (2005),Horror|Thriller
"Housekeeper, The (femme de ménage, Une) (2002)",Comedy|Drama|Romance
Howard Zinn: You Can't Be Neutral on a Moving Train (2004),Documentary
Howling IV: The Original Nightmare (1988),Horror
Hud (1963),Drama|Western
"Human Condition I, The (Ningen no joken I) (1959)",Drama|War
"Hunted, The (2003)",Action|Drama|Thriller
Hunter Prey (2009),Sci-Fi
Hustle (1975),Crime|Drama|Mystery|Thriller
"I Are You, You Am Me (Tenkosei) (1982)",Comedy
I Capture the Castle (2003),Drama|Romance
I Love You Too (Ik ook Van Jou) (2001),Drama|Romance
"I Love You, Man (2009)",Comedy
I Married a Monster from Outer Space (1958),Horror|Sci-Fi
I Smile Back (2015),Drama
I Thank a Fool (1962),Drama
I Was A Communist for the FBI (1951),Drama|Film-Noir|Thriller
I'll Be There (2003),Comedy|Musical|Romance
Identity (2003),Crime|Horror|Mystery|Thriller
"Idle Class, The (1921)",Comedy
"Imaginarium of Doctor Parnassus, The (2009)",Drama|Fantasy
Impure Thoughts (1986),Comedy
In Enemy Hands (2004),War
In Secret (2013),Crime|Drama|Romance|Thriller
In This World (2002),Adventure|Drama
In the Name of the King: A Dungeon Siege Tale (2008),Action|Adventure|Fantasy
In the Name of the Law (1949),Drama
In the Park (1915),Comedy
InAPPropriate Comedy (2013),Comedy
Innocence (2014),Adventure|Fantasy|Horror
Inside Moves (1980),Drama
Insomnia (1997),Drama|Mystery|Thriller
Interview with the Assassin (2002),Drama
Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror
Into the Blue (2005),Action|Adventure|Crime|Thriller
Invincible (2001),Drama
Invisible Target (Naam yi boon sik) (2007),Action|Crime
"Iron Horse, The (1924)",Western
Istanbul (1985),(no genres listed)
It Felt Like a Kiss (2009),Documentary
It's a Very Merry Muppet Christmas Movie (2002),Children|Comedy
Japon (a.k.a. Japan) (Japón) (2002),Drama
Jekyll (2007),Crime|Horror|Thriller
Jesse Stone: Night Passage (2006),Crime|Drama|Mystery
Jimmy Hollywood (1994),Comedy|Crime|Drama
Johnny Be Good (1988),Comedy
"Joker Is Wild, The (All the Way) (1957)",Drama|Musical
Joshua (2002),Drama
Journey to the West: Conquering the Demons (Daai wa sai you chi Chui mo chun kei) (2013),Adventure|Comedy|Fantasy|Romance|IMAX
"Julia's Eyes (Ojos de Julia, Los) (2010)",Horror|Thriller
Just Like a Woman (2012),Drama
Just Looking (1999),Comedy
Kadosh (1999),Drama
Kaena: The Prophecy (Kaena: La prophétie) (2003),Action|Adventure|Animation|Children|Sci-Fi
Karen Cries on the Bus (2011),Drama
Keane (2004),Mystery|Thriller
"Kids in the Hall: Same Guys, New Dresses (2001)",Comedy|Documentary
Kill Me Now (2012),Comedy|Horror
Kill Your Darlings (2013),Crime|Drama|Romance|Thriller
Killer Holiday (2013),Horror|Thriller
"Killer Is Loose, The (1956)",Crime|Drama|Film-Noir
Killjoy Goes to Hell (2012),Comedy|Horror
King Kong (1933),Action|Adventure|Fantasy|Horror
King of Texas (2002),Drama|Western
Kiss or Kill (1997),Crime|Drama|Thriller
"Koumiko Mystery, The (Mystère Koumiko, Le) (1967)",Documentary
"Krakatoa, East of Java (1969)",Adventure|Drama
L.A. Without a Map (1998),Comedy|Drama|Romance
Lady Windermere's Fan (1925),Comedy|Drama
Lascars (2009),Animation|Comedy
Last Chance Harvey (2008),Drama|Romance
Last Days in Vietnam (2014),Documentary|War
"Last Flight of Noah's Ark, The (1980)",Adventure|Children|Comedy
"Last Time, The (2006)",Comedy|Drama|Romance
Last Vegas (2013),Comedy|Drama|Romance
Late Autumn (Man-choo) (2010),Drama|Romance
"Late Show, The (1977)",Comedy|Crime|Drama|Mystery
"Legacy, The (1978)",Horror
"Legally Blonde 2: Red, White & Blonde (2003)",Comedy
"Legend of Boggy Creek, The (1972)",Drama|Horror|Mystery|Thriller
"Leo's Room (Cuarto de Leo, El) (2009)",Drama
Let the Fire Burn (2013),Documentary
"Letter to Elia, A (2010)",Documentary
Licence to Kill (1989),Action|Adventure|Thriller
Life's a Breeze (2013),Comedy|Drama
Lili Marleen (1981),Drama
Lilies of the Field (1963),Drama
Little Darlings (1980),Drama
Little Lili (La petite Lili) (2003),Drama
"Little Mermaid: Ariel's Beginning, The (2008)",Animation|Children|Fantasy
Little Nicholas (Le petit Nicolas) (2009),Comedy|Drama
Live Music (2009),Animation
"Living and the Dead, The (2006)",Drama|Horror|Mystery
Look at Me (Comme une image) (2004),Comedy|Drama|Romance
Looker (1981),Drama|Horror|Sci-Fi|Thriller
Looking for Eric (2009),Comedy|Drama|Fantasy
Losing Chase (1996),Drama
Lost in America (1985),Comedy
Love Crime (Crime d'amour) (2010),Crime|Mystery|Thriller
Love Exposure (2007),Action|Comedy|Drama|Romance
Love Story 2050 (2008),Adventure|Comedy|Musical|Romance|Sci-Fi
Love and Honor (2006),Drama|Romance
Love and Other Troubles (2012),Comedy|Romance
Lovely to Look At (1952),Comedy|Musical|Romance
"Lovers, The (Les Amants) (1958)",Drama
Luck by Chance (2009),Drama
Lucky (2010),Documentary
Lullaby (2014),Drama
MacGyver: Lost Treasure of Atlantis (1994),Action|Adventure
Mad City (1997),Action|Drama
Mad Monster Party? (1967),Children|Comedy|Horror
Madame Rosa (La vie devant soi) (1977),Drama
"Magnificent Yankee, The (1950)",Drama
Main Hoon Na (2004),Action|Comedy|Drama
Major Dundee (1965),Adventure|War|Western
Make Believe (2010),Documentary
Mall (2014),Drama
Mama's Boy (2007),Comedy|Drama
Mammuth (2010),Comedy|Drama
"Man There Was, A (Terje Vigen) (1917)",Drama
"Man from London, The (A Londoni férfi) (2007)",Crime|Drama|Mystery
"Man of My Life, The (L'homme de sa vie) (2006)",Drama
Man-Proof (1938),Comedy|Drama|Romance
"Mangler, The (1995)",Horror
Manhattan Baby (1982),Horror
Maniac Cop (1988),Action|Crime|Horror|Thriller
Manon of the Spring (Manon des sources) (1986),Drama
Marie Antoinette (2006),Drama|Romance
Mask (1985),Drama
"Masseurs and a Woman, The (Anma to onna) (1938)",Drama
"Master of Ballantrae, The (1953)",Adventure
Master of the House (Du skal ære din hustru) (Thou Shalt Honour Thy Wife) (1925),Drama
"Master, The (Huang Fei Hong jiu er zhi long xing tian xia) (1992)",Action
"Matchmaker, The (1958)",Comedy|Romance
"Maze, The (2010)",Horror
McLintock! (1963),Comedy|Western
Me Myself I (2000),Comedy|Romance
Mea Maxima Culpa: Silence in the House of God (2012),Documentary
Measuring the World (Die Vermessung der Welt) (2012),Adventure|Drama
Meat the Truth (2008),Documentary
Mesrine: Public Enemy #1 (L'ennemi public n°1) (2008),Action|Crime
Mickey's Once Upon a Christmas (1999),Animation|Comedy|Fantasy
Mike Birbiglia: My Girlfriend's Boyfriend (2013),Comedy
Millennium Actress (Sennen joyû) (2001),Animation|Drama|Romance
Million Dollar Arm (2014),Comedy|Drama
"Mind Reader, The (1933)",Drama|Romance
Mississippi Grind (2015),Drama
Momo (2001),Animation|Children|Fantasy
Moolaadé (2004),Drama
Moonwalker (1988),Musical
More Dead Than Alive (1968),Romance|Western
Morgan Stewart's Coming Home (1987),Comedy
Mother Joan of the Angels (Matka Joanna od aniolów) (1961),Drama|Horror
"Motivation, The (2013)",Documentary
Mr. Bug Goes to Town (a.k.a. Hoppity Goes to Town) (1941),Animation|Children|Comedy|Fantasy|Musical
Mulan II (2004),Action|Animation|Children|Comedy|Musical
Murder at 1600 (1997),Crime|Drama|Mystery|Thriller
Murder on a Sunday Morning (Un coupable idéal) (2001),Documentary
Museum Hours (2013),Drama
My Old Lady (2014),Comedy|Drama
My Way (2012),Drama
"Naked Gun 2 1/2: The Smell of Fear, The (1991)",Comedy
"Names of Love, The (Le nom des gens) (2010)",Comedy
"Nature of Existence, The (2010)",Documentary
Naughty Girl (1956),Comedy|Musical|Romance
Neighbors (1920),Comedy
"Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997)",Action|Animation|Drama|Fantasy|Sci-Fi
Night Must Fall (1937),Thriller
Night and the City (1950),Film-Noir|Thriller
Ninja: Shadow of a Tear (2013),Action|Crime|Thriller
"Ninth Gate, The (1999)",Fantasy|Horror|Mystery|Thriller
No One Lives (2012),Horror|Thriller
Nobody Knows Anything! (2003),Comedy
Non-Stop (2013),Drama|Mystery|Thriller
Norwegian Ninja (2010),Action|Comedy
Note by Note: The Making of Steinway L1037 (2007),Documentary
Nuremberg (2000),Drama|War
"Nutty Professor, The (1996)",Comedy|Fantasy|Romance|Sci-Fi
Odette Toulemonde (2006),Comedy|Drama
"Oil, the Baby and the Transylvanians, The (Pruncul, petrolul si Ardelenii) (1981)",Comedy|Western
Ole dole doff (1968),Drama
Olympia Part Two: Festival of Beauty (Olympia 2. Teil - Fest der Schönheit) (1938),Documentary
Once Upon a Scoundrel (1974),Comedy
One Direction: This Is Us (2013),Documentary
Ong-Bak 2: The Beginning (Ong Bak 2) (2008),Action
"Onion Movie, The (2008)",Comedy
Only the Strong Survive - A Celebration of Soul (2002),Documentary|Musical
Operator 13 (1934),Drama|Romance|War
"Oranges, The (2011)",Comedy|Drama|Romance
"Other Man, The (2008)",Drama
Our Modern Maidens (1929),Comedy|Drama
Our Nixon (2013),Documentary
Out in the Dark (2013),Drama|Romance
Out of the Clear Blue Sky (2012),Documentary
"Out of the Furnace (Dust to Dust) (Low Dweller, The) (2013)",Drama|Thriller
Over Your Dead Body (2014),Horror
Over the Brooklyn Bridge (1984),Comedy
Paid in Full (2002),Action|Drama
Painted Lady (1997),Crime|Drama|Thriller
Pale Rider (1985),Western
Parenti serpenti (1992),Comedy
"Park Avenue: Money, Power and the American Dream (2012)",Documentary
Parting Glances (1986),Comedy|Drama|Romance
Party Monster (1998),Documentary
Passion in the Desert (1998),Adventure|Drama
"Pawnbroker, The (1964)",Drama
Pay or Die (1960),Crime
Perifery (Härmä) (2012),Drama
Peter's Friends (1992),Comedy|Drama
"Phenix City Story, The (1955)",Crime|Drama|Film-Noir
"Piano, The (1993)",Drama|Romance
Picture This (2008),Comedy|Drama|Romance
Ping Pong Summer (2014),Comedy
Pink Cadillac (1989),Action|Comedy|Drama
Pitch Perfect (2012),Comedy|Musical
Play (2011),Crime|Drama
Play Misty for Me (1971),Drama|Thriller
Played (2006),Crime|Thriller
Pontypool (2008),Horror|Thriller
Pork Chop Hill (1959),War
"Pretty One, The (2013)",Comedy|Drama
Prime Suspect 2 (1992),Crime|Drama|Mystery|Romance|Thriller
